,User_Name,User_Screen_Name,Text,ID,Retweet_Count,Favorite_Count,User_ID,Language,Date,Sentiment
2514,محمد عامر 🇮🇳💚,awwmir_ansari,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316150172340226,3435,0,1031721813133414407,en,20,0.5994
2515,ana| die for you,caitssams,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316149857951748,3435,0,272479678,en,20,0.5994
2516,Trini 🍑💚 DUEÑA DE OFF MY FACE,biebeeerm,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316148977135618,3435,0,1221994244992356355,en,20,0.5994
2517,arionna renae,Arionna01,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316144480796672,3435,0,1004956657,en,20,0.5994
2518,Malia⁷ JUSTICE ✞,Agustdlia,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316143247716356,3435,0,1286100773399605249,en,20,0.5994
2519,Cinthia JUSTICE 🏳️‍🌈,biebsbaldw,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316139237904387,3435,0,1684125158,en,20,0.5994
2520,rᥱᥒ🍂,juxtinsmile,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316139015573506,3435,0,243576900,en,20,0.5994
2521,vibin' to 2 much,tortoiseturd,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316137128054786,3435,0,852887142963585024,en,20,0.5994
2522,KLVFN,calvfinka,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316132581507078,3435,0,366952468,en,20,0.5994
2523,ade | ghost stan,halosflatline,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316128030724102,3435,0,1314210504202543106,en,20,0.5994
2524,ariel 🌴,rxmionez,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316121651200009,3435,0,1353432084711407617,en,20,0.5994
2525,Paola León,Paolapshawty,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316120174809089,3435,0,3000401103,en,20,0.5994
2526,Leeh ˢᶜᶜᵖ,Lele__SCCP,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316120103563264,3435,0,1145465122145624064,en,20,0.5994
2527,zuza,carolzuzax,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316117247053830,3435,0,623532700,en,20,0.5994
2528,nick,feelsohoIy,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316116181880835,3435,0,1182684422426058752,en,20,0.5994
2529,lady day,cxnadianz,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316107042455558,3435,0,245873409,en,20,0.5994
2530,𝖆𝖓𝖌𝖎𝖊 🍑,aesthetic_drews,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316102776881155,3435,0,1216010727976206336,en,20,0.5994
2531,bri,falsettorauhl,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316097580003329,3435,0,1092903888,en,20,0.5994
2532,Dodo Lover | Half Indian,itzAminah,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316094316920837,3435,0,285701769,en,20,0.5994
